jobId,title,company,roleFamily,postingAge,ats,myDecision,xrayDecision,rule,stage,confidence,agreement,hiringReality,capability,evidence,eligibility,positioning,canWork,postingCategories,actions,dataGaps,traceInputCount
94d93b1f-17ed-484f-bd5f-26d4b314f6f0,Senior Java Full Stack Developer,Citigroup,Backend / Java,103 days,custom,SKIP,APPLY_NOW,RI2,I_apply,medium,No,LIKELY_LIVE,MEETS,ADEQUATE,EMPLOYER_ACTION_MAY_BE_NEEDED,ALIGNED,YES,,confirm_everify_participation,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,5
6466c48e-7379-4ac8-8794-4460560aaad5,"Lead Software Engineer, Back End",Capital One,Backend,101 days,workday,APPLY_NOW,APPLY_NOW,RI2,I_apply,low,Yes,LIKELY_LIVE,EXCEEDS,THIN,NEEDS_CLARIFICATION,ALIGNED,YES,SPONSORSHIP_SCOPE_AMBIGUOUS,confirm_everify_participation|confirm_future_sponsorship_policy|confirm_requirement_status,board-check-stale|everify-participation-unknown|sponsorship-scope-unstated,5
cd82fc7d-54b4-4811-8192-14be418f04a3,"Backend Engineer, Core Technology",Stripe,Backend / payments,106 days,custom,APPLY_NOW,APPLY_NOW,RI2,I_apply,medium,Yes,LIKELY_LIVE,NEAR_MISS,THIN,EMPLOYER_ACTION_MAY_BE_NEEDED,MISALIGNED,YES,,confirm_everify_participation|confirm_requirement_status,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,5
ee165f9f-6834-41c4-9c8c-c38b0bd97d16,"Senior Software Engineer, Backend",Coinbase,Backend,113 days,custom,APPLY_NOW,APPLY_NOW,RI2,I_apply,medium,Yes,LIKELY_LIVE,MEETS,THIN,EMPLOYER_ACTION_MAY_BE_NEEDED,ALIGNED,YES,,confirm_everify_participation|confirm_requirement_status,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,5
3d779276-bb8f-41fb-8773-ac20a9740a7d,"Senior Software Engineer, Backend (Platform - Financial En",Coinbase,Backend / fintech,113 days,custom,APPLY_NOW,APPLY_NOW,RI2,I_apply,medium,Yes,LIKELY_LIVE,MEETS,THIN,EMPLOYER_ACTION_MAY_BE_NEEDED,ALIGNED,YES,,confirm_everify_participation|confirm_requirement_status,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,5
08b30169-eefc-46ea-ba52-f725460f480e,"Senior Software Engineer, Identity & Access Management",Snowflake,Backend / security,105 days,ashby,APPLY_NOW,INSUFFICIENT_DATA,RD2,D_sufficiency,unknown,No,LIKELY_LIVE,MEETS,ADEQUATE,NEEDS_CLARIFICATION,ALIGNED,YES,CLEARANCE_REQUIRED,confirm_everify_participation,board-check-stale|everify-participation-unknown,2
d30fea9e-8479-49f0-b485-316c373f09a0,Senior Software Engineer,Match Group,Backend,119 days,lever,APPLY_NOW,INSUFFICIENT_DATA,RD0,D_sufficiency,unknown,No,LIKELY_LIVE,EXCEEDS,THIN,EMPLOYER_ACTION_MAY_BE_NEEDED,ALIGNED,YES,,verify_posting|confirm_everify_participation,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,15
d96db4a8-9acb-41bc-8f19-11ea046ecd50,"Software Engineer, DevInfra",Mixpanel,Backend / infra,104 days,greenhouse,APPLY_NOW,APPLY_NOW,RI2,I_apply,medium,Yes,LIKELY_LIVE,EXCEEDS,BURIED,EMPLOYER_ACTION_MAY_BE_NEEDED,TUNABLE,YES,,confirm_everify_participation,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,5
282eba74-159d-4dae-8ae3-8ac173564539,Senior Software Engineer Applied Gen AI Engineering,Citigroup,AI/ML + backend,103 days,custom,APPLY_NOW,APPLY_NOW,RI2,I_apply,medium,Yes,LIKELY_LIVE,MEETS,BURIED,EMPLOYER_ACTION_MAY_BE_NEEDED,TUNABLE,YES,,confirm_everify_participation,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,5
587de755-1293-4531-98b8-229a8f3533a3,Senior AI Software Engineer,Amplitude,AI/ML,104 days,greenhouse,STRENGTHEN_FIRST,APPLY_NOW,RI2,I_apply,medium,Partial,LIKELY_LIVE,MEETS,THIN,EMPLOYER_ACTION_MAY_BE_NEEDED,ALIGNED,YES,,confirm_everify_participation|confirm_requirement_status,board-check-stale|everify-participation-unknown|role-specific-sponsorship-unknown,5
